Year;Site;Var;Ridge;Plant;Emergence_Date;PlantNb
2021;Godet;GrandEtang;20;6;28/05/2021;20
2021;Godet;GrandEtang;20;7;03/06/2021;20
2021;Godet;GrandEtang;20;8;10/06/2021;20
2021;Godet;GrandEtang;20;9;05/06/2021;20
2021;Godet;GrandEtang;20;10;30/05/2021;20
2021;Godet;GrandEtang;19;1;06/06/2021;20
2021;Godet;GrandEtang;19;2;08/06/2021;20
2021;Godet;GrandEtang;19;3;06/06/2021;20
2021;Godet;GrandEtang;19;4;09/06/2021;20
2021;Godet;GrandEtang;19;5;01/06/2021;20
2021;Godet;GrandEtang;19;6;11/06/2021;20
2021;Godet;GrandEtang;19;7;05/06/2021;20
2021;Godet;GrandEtang;19;8;07/06/2021;20
2021;Godet;GrandEtang;19;9;05/06/2021;20
2021;Godet;GrandEtang;19;10;06/06/2021;20
2021;Godet;Caplaou;11;1;04/07/2021;20
2021;Godet;Caplaou;11;2;25/06/2021;20
2021;Godet;Caplaou;11;3;05/07/2021;20
2021;Godet;Caplaou;11;4;06/07/2021;20
2021;Godet;Caplaou;11;5;22/06/2021;20
2021;Godet;Caplaou;11;6;13/06/2021;20
2021;Godet;Caplaou;11;7;30/06/2021;20
2021;Godet;Caplaou;11;8;15/06/2021;20
2021;Godet;Caplaou;11;9;18/06/2021;20
2021;Godet;Caplaou;11;10;18/07/2021;20
2021;Godet;Caplaou;12;1;26/06/2021;20
2021;Godet;Caplaou;12;2;27/06/2021;20
2021;Godet;Caplaou;12;3;06/07/2021;20
2021;Godet;Caplaou;12;4;06/07/2021;20
2021;Godet;Caplaou;12;5;27/06/2021;20
2021;Godet;Caplaou;12;6;19/06/2021;20
2021;Godet;Caplaou;12;7;08/07/2021;20
2021;Godet;Caplaou;12;8;29/06/2021;20
2021;Godet;Caplaou;12;9;13/06/2021;20
2021;Godet;Caplaou;12;10;18/06/2021;20
2021;Godet;Manlankon;1;1;06/06/2021;20
2021;Godet;Manlankon;1;2;18/06/2021;20
2021;Godet;Manlankon;1;3;08/06/2021;20
2021;Godet;Manlankon;1;4;05/06/2021;20
2021;Godet;Manlankon;1;5;09/06/2021;20
2021;Godet;Manlankon;1;6;21/06/2021;20
2021;Godet;Manlankon;1;7;13/06/2021;20
2021;Godet;Manlankon;1;8;18/06/2021;20
2021;Godet;Manlankon;1;9;10/06/2021;20
2021;Godet;Manlankon;1;10;09/06/2021;20
2021;Godet;Manlankon;2;1;27/06/2021;20
2021;Godet;Manlankon;2;2;09/06/2021;20
2021;Godet;Manlankon;2;3;05/06/2021;20
2021;Godet;Manlankon;2;4;06/06/2021;20
2021;Godet;Manlankon;2;5;07/06/2021;20
2021;Godet;Manlankon;2;6;17/06/2021;20
2021;Godet;Manlankon;2;7;10/06/2021;20
2021;Godet;Manlankon;2;8;15/06/2021;20
2021;Godet;Manlankon;2;9;10/06/2021;20
2021;Godet;Manlankon;2;10;14/06/2021;20
2021;Godet;Toki;1;1;03/07/2021;20
2021;Godet;Toki;1;2;05/07/2021;20
2021;Godet;Toki;1;3;10/07/2021;20
2021;Godet;Toki;1;4;;20
2021;Godet;Toki;1;5;11/07/2021;20
2021;Godet;Toki;1;6;04/07/2021;20
2021;Godet;Toki;1;7;;20
2021;Godet;Toki;1;8;18/07/2021;20
2021;Godet;Toki;1;9;;20
2021;Godet;Toki;1;10;04/07/2021;20
2021;Godet;Toki;2;1;09/07/2021;20
