"","Year","Var","Site","DOYemMean","MaxEmRate_obs","FirstEm_obs","code","Steepness","MaxEmRate","MedianEm","em90","em95","FirstEm","DOYem","Latency"
"55","2021","H4X172","Roujol",33,1,19,"Roujol_2021_H4X172",3.94699270385581,1,29.0340295314098,47.4496648137502,61.9777585436802,9.3143957628311,29.0340295314098,9.3143957628311
"56","2021","HYB30","Godet",24.5,0.95,11,"Godet_2021_HYB30",4.66552520945178,0.99215623769815,24.107836181856,32.4897514866178,41.8735169690842,7.11556763421853,24.107836181856,7.11556763421853
"57","2021","HYB30","Roujol",38,1,18,"Roujol_2021_HYB30",4.27300104370291,1,35.1130145263547,52.3129171222526,67.8625538516718,8.65951664401308,35.1130145263547,8.65951664401308
"58","2021","HYB5","Godet",40,1,24,"Godet_2021_HYB5",6.09060673853846,1,37.1196025107972,37.3045839022551,47.3976131992289,4.12561408984686,37.1196025107972,4.12561408984686
"59","2021","HYB5","Roujol",29,1,18,"Roujol_2021_HYB5",4.02459999457447,1,28.1680024898891,44.992505689375,58.6638563951096,9.34640876662454,28.1680024898891,9.34640876662454
"60","2021","HYB6","Godet",46.5,0.95,27,"Godet_2021_HYB6",7.05203363991516,1,44.3731796472379,38.1403568508342,48.2060772552377,4.50897703267424,44.3731796472379,4.50897703267424
"61","2021","HYB6","Roujol",42.5,1,28,"Roujol_2021_HYB6",6.25302280045376,1,38.3193696794947,37.4363325173608,47.5148973908012,4.57158945143917,38.3193696794947,4.57158945143917
"62","2021","INRA15","Godet",28,1,4,"Godet_2021_INRA15",1.83934550729709,1,20.6113865314194,98.0133794255501,148.238623543328,33.5778230537143,20.6113865314194,4
"63","2021","INRA15","Roujol",32,1,13,"Roujol_2021_INRA15",3.88999961971588,1,26.9110977964525,44.7425280532823,58.5218910339353,8.41630559642029,26.9110977964525,8.41630559642029
"64","2021","INRAX154","Godet",40.5,1,16,"Godet_2021_INRAX154",3.63902571631991,1,36.7387625434466,66.1556195379536,87.1173139250017,11.4531945696743,36.7387625434466,11.4531945696743
"65","2021","INRAX154","Roujol",37,1,18,"Roujol_2021_INRAX154",5.11503067264885,1,36.5767333882885,44.4748863989927,56.9910611254735,6.29401565788076,36.5767333882885,6.29401565788076
"66","2021","KL21","Roujol",26,1,10,"Roujol_2021_KL21",3.4849900382445,1,24.1948555048964,45.9247798998226,60.7700581569977,10.3274494420859,24.1948555048964,10
"67","2021","Kabusa","Godet",34,1,23,"Godet_2021_Kabusa",7.51791370172641,1,31.062710409098,24.9586690027133,31.4869256359038,2.20239387029514,31.062710409098,2.20239387029514
"68","2021","Kabusa","Roujol",22,1,13,"Roujol_2021_Kabusa",5.72964175153507,1,20.7475600072591,22.2752200581897,28.3774042150349,2.82699792163455,20.7475600072591,2.82699792163455
"69","2021","Kinabayo","Godet",39,1,22,"Godet_2021_Kinabayo",5.39689824865255,1,36.6286987043118,41.9802631199555,53.6373364356364,4.95915436635551,36.6286987043118,4.95915436635551
"70","2021","Kinabayo","Roujol",22.5,1,14,"Roujol_2021_Kinabayo",5.85449328934068,1,21.5303746148408,22.5814422560847,28.7394702043385,2.97508167273256,21.5303746148408,2.97508167273256
"71","2021","LacBleu","Godet",34.5,1,23,"Godet_2021_LacBleu",7.72935553152198,1,32.555744457634,25.4079998841553,32.0301531198682,2.270858133679,32.555744457634,2.270858133679
"72","2021","LacBleu","Roujol",40,0.9375,30,"Roujol_2021_LacBleu",8.35783085219121,0.949070285128419,39.6023437386917,28.4843689413401,35.841025806997,3.44831003806476,39.6023437386917,3.44831003806476
"73","2021","MP1","Godet",34.5,1,26,"Godet_2021_MP1",9.20763434370577,1,32.8690670887016,21.3820174553607,26.851705251509,1.64718560858199,32.8690670887016,1.64718560858199
"74","2021","MP1","Roujol",49,0.875,38,"Roujol_2021_MP1",7.20384663939265,0.891885047592288,48.5608822024268,40.8112916199021,51.548620834724,6.65334637505162,48.5608822024268,6.65334637505162
"75","2021","Manlankon","Godet",25,1,17,"Godet_2021_Manlankon",7.1427871403395,1,22.1431781861948,18.7774150395599,23.7237401317406,1.88598312777704,22.1431781861948,1.88598312777704
"76","2021","Manlankon","Roujol",22,1,10,"Roujol_2021_Manlankon",4.04731164817559,1,19.5228782079711,30.9788363135614,40.3717361004797,5.92793978355884,19.5228782079711,5.92793978355884
"77","2021","Noulelcae","Godet",24.5,1,17,"Godet_2021_Noulelcae",6.29315515827225,1,22.7946627947009,22.1171199882124,28.0644965518475,2.23247746642845,22.7946627947009,2.23247746642845
"78","2021","Noulelcae","Roujol",22,1,13,"Roujol_2021_Noulelcae",5.5758402688693,1,20.9289058843125,23.1456225535941,29.524311427705,2.8627543156219,20.9289058843125,2.8627543156219
"79","2021","Nureangdan","Roujol",26,0.9375,13,"Roujol_2021_Nureangdan",2.90081321166203,1,23.243068195066,55.715568035707,75.6095033104352,23.2018541547737,23.243068195066,13
"80","2021","Oriental","Godet",27,0.95,8,"Godet_2021_Oriental",3.72137089240432,1,26.8492911222981,47.0616021138458,61.8270014096085,12.447539644616,26.8492911222981,8
"81","2021","Oriental","Roujol",24,0.823529411764706,10,"Roujol_2021_Oriental",2.37337810678061,0.852935218740787,25.5420775798793,80.9305330824088,114.117754788278,38.4362242610035,25.5420775798793,10
"82","2021","Pacala","Godet",33,1,20,"Godet_2021_Pacala",9.08667563570886,1,32.1177449639582,21.1809972027959,26.6058076679888,1.56368167063986,32.1177449639582,1.56368167063986
"83","2021","Pacala","Roujol",28,1,15,"Roujol_2021_Pacala",3.31494203226578,1,25.3247854613735,51.1420595293073,68.0874640326098,12.6666773719288,25.3247854613735,12.6666773719288
"84","2021","Pakutrany","Godet",16,1,11,"Godet_2021_Pakutrany",7.14014214448537,1,15.1096747891511,12.8180166375693,16.1947049236725,1.11418692843672,15.1096747891511,1.11418692843672
"85","2021","Pakutrany","Roujol",18.5,1,11,"Roujol_2021_Pakutrany",6.31390514322574,1,15.7410978800213,15.219427380993,19.3095447181304,1.97605259071643,15.7410978800213,1.97605259071643
"86","2021","Peter","Godet",21.5,1,13,"Godet_2021_Peter",5.87461216796106,1,19.7925406027658,20.6818132009314,26.3178181654685,2.23204671904695,19.7925406027658,2.23204671904695
"87","2021","Peter","Roujol",18,1,10,"Roujol_2021_Peter",5.68941998030443,1,16.4344035099153,17.7801301093577,22.658328091442,2.18292565876594,16.4344035099153,2.18292565876594
"88","2021","Plimbite","Roujol",32,1,14,"Roujol_2021_Plimbite",4.28037096226126,1,25.9769306126384,38.6247400591462,50.0987410521645,6.55639944835094,25.9769306126384,6.55639944835094
"89","2021","Ptris","Godet",26,1,14,"Godet_2021_Ptris",5.53570045665699,1,25.977230426141,28.9561856326604,36.9492803148088,3.35495146291737,25.977230426141,3.35495146291737
"90","2021","Ptris","Roujol",20,1,14,"Roujol_2021_Ptris",7.08007310418108,1,19.3546618479149,16.5663872825361,20.9359050040527,1.67950570705931,19.3546618479149,1.67950570705931
"91","2021","Pyramide","Godet",28.5,1,19,"Godet_2021_Pyramide",5.86131101716772,1,29.8849009177856,31.3043426356901,39.8390794329036,3.38284066818052,29.8849009177856,3.38284066818052
"92","2021","Pyramide","Roujol",37,1,16,"Roujol_2021_Pyramide",4.04563050322826,1,33.8656122860257,53.7639778722816,70.0680037826252,9.7659636746634,33.8656122860257,9.7659636746634
"93","2021","Roujol","Godet",27,1,17,"Godet_2021_Roujol",8.15613472153263,1,25.4801808911748,18.7993766730134,23.6678397184137,1.59147324093857,25.4801808911748,1.59147324093857
"94","2021","Roujol","Roujol",32,1,17,"Roujol_2021_Roujol",8.50971652962492,1,30.051854742578,21.2138847887732,26.682305923971,1.89676684161393,30.051854742578,1.89676684161393
"95","2021","Sea190","Godet",35,1,17,"Godet_2021_Sea190",5.57490561958218,1,31.3750085105696,34.7044882314139,44.2690394078441,3.71191269534962,31.3750085105696,3.71191269534962
"96","2021","Sea190","Roujol",34,0.8125,18,"Roujol_2021_Sea190",3.00009198482436,0.889930989955504,35.1722345137418,80.6694154919062,108.900045848486,40.7575240740219,35.1722345137418,18
"97","2021","Sinoua","Godet",15.5,1,6,"Godet_2021_Sinoua",4.37917113619205,1,13.0801811302717,18.9451503696665,24.5291424132394,2.89180108748543,13.0801811302717,2.89180108748543
